scorer,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300
bodyparts,Hand,Hand,Hand,Finger1,Finger1,Finger1,Tongue,Tongue,Tongue,Joystick1,Joystick1,Joystick1,Joystick2,Joystick2,Joystick2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
68,338.05147778987885,444.29905182123184,0.21904319524765015,330.79981994628906,453.02953338623047,0.31816112995147705,329.9178030490875,444.9731216430664,0.08428218960762024,324.87204271554947,453.3934202194214,0.31509432196617126,335.0976676940918,679.0623500347137,0.22139975428581238
69,329.34877848625183,442.04757046699524,0.17591702938079834,330.43372988700867,453.45346784591675,0.3158171772956848,329.36880230903625,443.30548191070557,0.0713089108467102,320.25054955482483,457.23704051971436,0.35304784774780273,331.3975806236267,675.4553599953651,0.20800456404685974
70,323.78653368353844,441.87942719459534,0.21313801407814026,323.64073061943054,452.03299900889397,0.29816949367523193,313.59801292419434,460.95738220214844,0.0935010313987732,318.8089437484741,456.78616881370544,0.2559053301811218,362.1767997741699,516.5170700550079,0.2809605598449707
71,321.01412892341614,446.0754909515381,0.1569710373878479,349.6640238761902,503.13711762428284,0.27608203887939453,312.7752876281738,460.9464532136917,0.07046657800674438,305.1479721069336,452.71219420433044,0.3129725456237793,344.2605333328247,516.5815923810005,0.2347593605518341
72,301.9615832567215,449.0177848339081,0.14370420575141907,336.14014530181885,503.44876742362976,0.32954180240631104,348.75211054086685,509.2741516828537,0.08067166805267334,302.40094327926636,456.67444014549255,0.25729918479919434,345.5230224132538,516.6033687591553,0.3003156781196594
73,340.0917736515403,501.32153606414795,0.17819231748580933,322.0218914747238,498.4213774204254,0.26416605710983276,124.70544397830963,4.177058726549149,0.06451958417892456,290.38595712184906,454.2550308704376,0.23016199469566345,329.6139132976532,516.4517446756363,0.30354487895965576
74,327.6932907104492,494.7350220680237,0.17356398701667786,320.0038158893585,504.5533905029297,0.3774174451828003,280.944527387619,460.9220046401024,0.07624036073684692,286.29854345321655,457.1376082897186,0.2777464687824249,291.6412888765335,665.4834537506104,0.3140675127506256
75,325.28711473941803,500.41286849975586,0.19715455174446106,306.2807637453079,498.9796667098999,0.2929842472076416,313.9492757320404,508.93751484155655,0.07246935367584229,277.63000869750977,455.5899245738983,0.22276350855827332,313.05908370018005,515.8543600440025,0.30645617842674255
76,283.5058708190918,450.32703161239624,0.14775317907333374,305.80818152427673,504.0215210914612,0.38962480425834656,281.16579484939575,459.3204408288002,0.07310602068901062,271.9952988624573,457.7431046962738,0.25405436754226685,281.4947443008423,677.3633605241776,0.3162553310394287
77,305.94951844215393,494.7867045402527,0.19707509875297546,302.5371518135071,505.4704055786133,0.2876259684562683,297.4097487926483,509.53162121772766,0.08173125982284546,262.28244066238403,462.9058451652527,0.2517054080963135,274.3568149805069,679.1265177726746,0.33318614959716797
78,264.7323112487793,457.29899168014526,0.1534939706325531,290.0933606624603,504.31222581863403,0.4094299376010895,300.0923695936799,510.24253845214844,0.0731869637966156,251.1509509086609,463.35765075683594,0.2369217872619629,264.5650701522827,674.0636184215546,0.3317631185054779
79,249.60084342956543,459.9132957458496,0.18603414297103882,275.1364176273346,499.6767868697643,0.31332430243492126,281.62362718582153,508.93968176841736,0.08449572324752808,246.1765251159668,463.0377821922302,0.2932896912097931,258.27377486228943,678.0011613368988,0.32895469665527344
80,247.38786554336548,459.16630494594574,0.1944967806339264,273.54984307289124,504.5386743545532,0.4415108561515808,264.1526892185211,508.2357219308615,0.0828714668750763,238.929181098938,462.19238471984863,0.25462472438812256,248.6153814792633,673.3854219913483,0.34852713346481323
81,235.63190507888794,461.37539434432983,0.22969672083854675,258.7088452577591,500.9958429336548,0.3560263514518738,266.0762882232666,509.1758779287338,0.07720991969108582,228.85290628671646,462.20348262786865,0.30466192960739136,242.94748270511627,676.6797283887863,0.3311994969844818
82,237.00524616241455,463.81300354003906,0.2852714955806732,256.4825189113617,504.7680616378784,0.41544729471206665,233.9994616508484,476.0013266366441,0.09460669755935669,221.19441175460815,469.64128041267395,0.2673543095588684,232.07552909851074,673.8886325359344,0.364906907081604
83,217.72159433364868,461.22512769699097,0.17878475785255432,242.8153291940689,502.5222842693329,0.3691626489162445,251.28931373357773,509.7480630874634,0.06862106919288635,210.65209090709686,465.5531039237976,0.26902100443840027,224.68500065803528,675.6276338398457,0.34114253520965576
84,215.29796504974365,458.6288379430771,0.22894003987312317,240.99786472320557,504.53557109832764,0.4427173435688019,217.94558787345886,475.78885604441166,0.08317255973815918,201.30229425430298,463.5470666885376,0.29296839237213135,216.53579187393188,674.0611302852631,0.38060855865478516
85,201.20992755889893,459.8257646560669,0.2586357891559601,226.76330065727234,500.5261065363884,0.37919706106185913,218.32134461402893,476.2077710479498,0.07896146178245544,195.29321467876434,465.8705372810364,0.3786640465259552,212.9144368171692,674.8801712989807,0.3464927077293396
86,200.08758068084717,458.60139286518097,0.2280791997909546,226.69435143470764,503.61253666877747,0.42181968688964844,202.18918466567993,461.9979375600815,0.0919218361377716,188.69082689285278,468.3975867629051,0.3393843173980713,207.59666299819946,663.0228068828583,0.34948939085006714
87,198.87796211242676,459.191045999527,0.273731529712677,225.42089915275574,503.79600954055786,0.4345657229423523,202.6164357662201,476.8309304714203,0.104510098695755,184.49138259887695,471.3475842475891,0.3959815502166748,200.78055834770203,673.3818652629852,0.3817809224128723
